ISRC,Track,Artist,Release Date,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Explicit Track
QM24S2402528,MILLION DOLLAR BABY,Tommy Richman,2024-04-26,725.4,390470936.0,30716.0,196631588.0,92.0,84274754.0,1713126.0,5767700.0,651565900.0,5332281936.0,150597040.0,0
USUG12400910,Not Like Us,Kendrick Lamar,2024-05-04,545.9,323703884.0,28113.0,174597137.0,92.0,116347040.0,3486739.0,674700.0,35223547.0,208339025.0,156380351.0,1
QZJ842400387,i like the way you kiss me,Artemas,2024-03-19,538.4,601309283.0,54331.0,211607669.0,92.0,122599116.0,2228730.0,3025400.0,275154237.0,3369120610.0,373784955.0,0
USSM12209777,Flowers,Miley Cyrus,2023-01-12,444.9,2031280633.0,269802.0,136569078.0,85.0,1096100899.0,10629796.0,7189811.0,1078757968.0,14603725994.0,3351188582.0,0
USUG12403398,Houdini,Eminem,2024-05-31,423.3,107034922.0,7223.0,151469874.0,88.0,77373957.0,3670188.0,16400.0,,,112763851.0,1
USAT22311371,Lovin On Me,Jack Harlow,2023-11-10,410.1,670665438.0,105892.0,175421034.0,83.0,131148091.0,1392593.0,4202367.0,214943489.0,2938686633.0,2867222632.0,1
USWB12307016,Beautiful Things,Benson Boone,2024-01-18,407.2,900158751.0,73118.0,201585714.0,86.0,308723145.0,4120760.0,,29584940.0,534915313.0,4601579812.0,0
QZL382406049,Gata Only,FloyyMenor,2024-02-02,375.8,675079153.0,40094.0,211236940.0,92.0,228382568.0,1439495.0,3500000.0,338546668.0,3804584163.0,2112581620.0,1
TCJPA2463708,Danza Kuduro - Cover,MUSIC LAB JPN,2024-06-09,355.7,1653018119.0,1.0,15.0,,,,,,,,1
USSM12404354,BAND4BAND (feat. Lil Baby),Central Cee,2024-05-23,330.6,90676573.0,10400.0,184199419.0,86.0,32735244.0,988682.0,325800.0,121574500.0,974656200.0,174706874.0,1
USUM72404990,I Had Some Help (feat. Morgan Wallen),Post Malone,2024-05-10,322.1,250080413.0,16219.0,168766158.0,91.0,32229063.0,550191.0,,184500.0,2100000.0,327130768.0,1
USWB12402486,The Door,Teddy Swims,2024-06-14,320.2,111155129.0,2.0,263767.0,,,,,,,,1
